year,depth,season,species
1996,600,Spring,Deep-Water Catshark
1998,616,Spring,Deep-Water Catshark
1998,630,Fall,Deep-Water Catshark
2000,609,Spring,Deep-Water Catshark
2000,400,Fall,Deep-Water Catshark
2002,471,Spring,Deep-Water Catshark
2004,636,Spring,Deep-Water Catshark
2011,631,Spring,Deep-Water Catshark
2012,204,Spring,Deep-Water Catshark
2012,589,Fall,Deep-Water Catshark
2012,611,Fall,Deep-Water Catshark
2013,630,Fall,Deep-Water Catshark
2013,594,Fall,Deep-Water Catshark
1996,1335,Fall,Deep-Water Catshark
1996,1153,Fall,Deep-Water Catshark
1996,1385,Fall,Deep-Water Catshark
1996,1073,Fall,Deep-Water Catshark
1996,1079,Fall,Deep-Water Catshark
1996,1122,Fall,Deep-Water Catshark
1996,1355,Fall,Deep-Water Catshark
1996,1178,Fall,Deep-Water Catshark
1996,1223,Fall,Deep-Water Catshark
1996,1374,Fall,Deep-Water Catshark
1996,1400,Fall,Deep-Water Catshark
1996,1177,Fall,Deep-Water Catshark
1996,690,Fall,Deep-Water Catshark
1997,1358,Fall,Deep-Water Catshark
1997,1414,Fall,Deep-Water Catshark
1997,365,Fall,Deep-Water Catshark
1997,1377,Fall,Deep-Water Catshark
1997,1358,Fall,Deep-Water Catshark
1997,1362,Fall,Deep-Water Catshark
1997,1330,Fall,Deep-Water Catshark
1997,1203,Fall,Deep-Water Catshark
1997,1379,Fall,Deep-Water Catshark
1998,1473,Fall,Deep-Water Catshark
1998,1367,Fall,Deep-Water Catshark
1998,1303,Fall,Deep-Water Catshark
1998,1394,Fall,Deep-Water Catshark
1998,1345,Fall,Deep-Water Catshark
1998,1332,Fall,Deep-Water Catshark
1998,1279,Fall,Deep-Water Catshark
1998,1415,Fall,Deep-Water Catshark
1998,1172,Fall,Deep-Water Catshark
1998,1122,Fall,Deep-Water Catshark
1998,1144,Fall,Deep-Water Catshark
1998,1317,Fall,Deep-Water Catshark
1998,1173,Fall,Deep-Water Catshark
1998,1334,Fall,Deep-Water Catshark
1999,1303,Fall,Deep-Water Catshark
1999,606,Fall,Deep-Water Catshark
1999,1159,Fall,Deep-Water Catshark
1999,1429,Fall,Deep-Water Catshark
1999,1390,Fall,Deep-Water Catshark
1999,1329,Fall,Deep-Water Catshark
1999,1370,Fall,Deep-Water Catshark
1999,1403,Fall,Deep-Water Catshark
1999,1356,Fall,Deep-Water Catshark
1999,1220,Fall,Deep-Water Catshark
1999,1156,Fall,Deep-Water Catshark
