"","year","depth","season","species"
"1",1996,600,"Spring","Deep-Water Catshark"
"2",1998,616,"Spring","Deep-Water Catshark"
"3",1998,630,"Fall","Deep-Water Catshark"
"4",2000,609,"Spring","Deep-Water Catshark"
"5",2000,400,"Fall","Deep-Water Catshark"
"6",2002,471,"Spring","Deep-Water Catshark"
"7",2004,636,"Spring","Deep-Water Catshark"
"8",2011,631,"Spring","Deep-Water Catshark"
"9",2012,204,"Spring","Deep-Water Catshark"
"10",2012,589,"Fall","Deep-Water Catshark"
"11",2012,611,"Fall","Deep-Water Catshark"
"12",2013,630,"Fall","Deep-Water Catshark"
"13",2013,594,"Fall","Deep-Water Catshark"
"14",1996,1335,"Fall","Deep-Water Catshark"
"15",1996,1153,"Fall","Deep-Water Catshark"
"16",1996,1385,"Fall","Deep-Water Catshark"
"17",1996,1073,"Fall","Deep-Water Catshark"
"18",1996,1079,"Fall","Deep-Water Catshark"
"19",1996,1122,"Fall","Deep-Water Catshark"
"20",1996,1355,"Fall","Deep-Water Catshark"
"21",1996,1178,"Fall","Deep-Water Catshark"
"22",1996,1223,"Fall","Deep-Water Catshark"
"23",1996,1374,"Fall","Deep-Water Catshark"
"24",1996,1400,"Fall","Deep-Water Catshark"
"25",1996,1177,"Fall","Deep-Water Catshark"
"26",1996,690,"Fall","Deep-Water Catshark"
"27",1997,1358,"Fall","Deep-Water Catshark"
"28",1997,1414,"Fall","Deep-Water Catshark"
"29",1997,365,"Fall","Deep-Water Catshark"
"30",1997,1377,"Fall","Deep-Water Catshark"
"31",1997,1358,"Fall","Deep-Water Catshark"
"32",1997,1362,"Fall","Deep-Water Catshark"
"33",1997,1330,"Fall","Deep-Water Catshark"
"34",1997,1203,"Fall","Deep-Water Catshark"
"35",1997,1379,"Fall","Deep-Water Catshark"
"36",1998,1473,"Fall","Deep-Water Catshark"
"37",1998,1367,"Fall","Deep-Water Catshark"
"38",1998,1303,"Fall","Deep-Water Catshark"
"39",1998,1394,"Fall","Deep-Water Catshark"
"40",1998,1345,"Fall","Deep-Water Catshark"
"41",1998,1332,"Fall","Deep-Water Catshark"
"42",1998,1279,"Fall","Deep-Water Catshark"
"43",1998,1415,"Fall","Deep-Water Catshark"
"44",1998,1172,"Fall","Deep-Water Catshark"
"45",1998,1122,"Fall","Deep-Water Catshark"
"46",1998,1144,"Fall","Deep-Water Catshark"
"47",1998,1317,"Fall","Deep-Water Catshark"
"48",1998,1173,"Fall","Deep-Water Catshark"
"49",1998,1334,"Fall","Deep-Water Catshark"
"50",1999,1303,"Fall","Deep-Water Catshark"
"51",1999,606,"Fall","Deep-Water Catshark"
"52",1999,1159,"Fall","Deep-Water Catshark"
"53",1999,1429,"Fall","Deep-Water Catshark"
"54",1999,1390,"Fall","Deep-Water Catshark"
"55",1999,1329,"Fall","Deep-Water Catshark"
"56",1999,1370,"Fall","Deep-Water Catshark"
"57",1999,1403,"Fall","Deep-Water Catshark"
"58",1999,1356,"Fall","Deep-Water Catshark"
"59",1999,1220,"Fall","Deep-Water Catshark"
"60",1999,1156,"Fall","Deep-Water Catshark"
"61",2011,1480,"Fall","Deep-Water Catshark"
"62",2011,1438,"Fall","Deep-Water Catshark"
"63",2011,1311,"Fall","Deep-Water Catshark"
"64",2011,1152,"Fall","Deep-Water Catshark"
"65",2011,1337,"Fall","Deep-Water Catshark"
"66",2011,1071,"Fall","Deep-Water Catshark"
"67",2011,1411,"Fall","Deep-Water Catshark"
"68",2011,1077,"Fall","Deep-Water Catshark"
"69",2011,1349,"Fall","Deep-Water Catshark"
"70",2011,1124,"Fall","Deep-Water Catshark"
"71",2011,1209,"Fall","Deep-Water Catshark"
"72",2011,1394,"Fall","Deep-Water Catshark"
"73",2011,1078,"Fall","Deep-Water Catshark"
"74",2011,1429,"Fall","Deep-Water Catshark"
"75",2011,1402,"Fall","Deep-Water Catshark"
"76",2012,1133,"Fall","Deep-Water Catshark"
"77",2012,1359,"Fall","Deep-Water Catshark"
"78",2012,1307,"Fall","Deep-Water Catshark"
"79",2012,1415,"Fall","Deep-Water Catshark"
"80",2012,1128,"Fall","Deep-Water Catshark"
"81",2012,1152,"Fall","Deep-Water Catshark"
"82",2012,1324,"Fall","Deep-Water Catshark"
"83",2012,1118,"Fall","Deep-Water Catshark"
"84",2012,1368,"Fall","Deep-Water Catshark"
"85",2012,573,"Fall","Deep-Water Catshark"
"86",2012,1425,"Fall","Deep-Water Catshark"
"87",2012,1230,"Fall","Deep-Water Catshark"
"88",2012,1339,"Fall","Deep-Water Catshark"
"89",2012,1432,"Fall","Deep-Water Catshark"
"90",2012,1435,"Fall","Deep-Water Catshark"
"91",2012,1275,"Fall","Deep-Water Catshark"
"92",2012,1155,"Fall","Deep-Water Catshark"
"93",2012,1224,"Fall","Deep-Water Catshark"
"94",2012,1435,"Fall","Deep-Water Catshark"
"95",2013,1135,"Fall","Deep-Water Catshark"
"96",2013,1339,"Fall","Deep-Water Catshark"
"97",2013,1257,"Fall","Deep-Water Catshark"
"98",2013,1034,"Fall","Deep-Water Catshark"
"99",2013,1445,"Fall","Deep-Water Catshark"
"100",2013,1407,"Fall","Deep-Water Catshark"
"101",2013,1093,"Fall","Deep-Water Catshark"
"102",2013,1391,"Fall","Deep-Water Catshark"
"103",2013,1404,"Fall","Deep-Water Catshark"
"104",2013,1322,"Fall","Deep-Water Catshark"
"105",2013,913,"Fall","Deep-Water Catshark"
